date,shop,total_sales
2023-09-02,Shop1,5584.38
2023-09-01,Shop1,11019.69
2023-08-31,Shop1,4136.13
2023-08-30,Shop1,5908.41
2023-08-29,Shop1,10901.9
2023-08-28,Shop1,2429.57
2023-08-26,Shop1,4884.68
2023-08-25,Shop1,11564.88
2023-08-24,Shop1,2899.41
2023-08-23,Shop1,7919.84
2023-08-22,Shop1,8140.73
2023-08-21,Shop1,4652.31
2023-08-19,Shop1,3421.0
2023-08-18,Shop1,5031.33
2023-08-17,Shop1,4110.44
2023-08-16,Shop1,9705.83
2023-08-15,Shop1,4765.29
2023-08-14,Shop1,2749.91
2023-08-12,Shop1,9932.1
2023-08-11,Shop1,13161.52
2023-08-10,Shop1,3485.05
2023-08-09,Shop1,8684.39
2023-08-08,Shop1,2032.38
2023-08-07,Shop1,3772.22
2023-08-05,Shop1,6627.3
2023-08-04,Shop1,5607.01
2023-08-03,Shop1,4040.26
2023-08-02,Shop1,5780.66
2023-08-01,Shop1,7153.28
2023-07-31,Shop1,4196.94
2023-07-29,Shop1,7089.31
2023-07-28,Shop1,8084.79
2023-07-27,Shop1,7870.1
2023-07-26,Shop1,7200.2
2023-07-25,Shop1,10037.26
2023-07-24,Shop1,3098.34
2023-07-22,Shop1,6313.61
2023-07-21,Shop1,4264.27
2023-07-20,Shop1,1839.37
2023-07-19,Shop1,7281.42
2023-07-18,Shop1,3526.25
2023-07-17,Shop1,6002.51
2023-07-15,Shop1,7010.09
2023-07-14,Shop1,2868.47
2023-07-13,Shop1,3675.2
2023-07-12,Shop1,2734.7
2023-07-11,Shop1,15205.82
2023-07-10,Shop1,5497.09
2023-07-08,Shop1,7595.63
2023-07-07,Shop1,4244.26
2023-07-06,Shop1,6404.06
2023-07-05,Shop1,5198.1
2023-07-03,Shop1,2070.36
2023-07-01,Shop1,5863.35
2023-06-30,Shop1,5805.25
2023-06-29,Shop1,7682.54
2023-06-28,Shop1,7374.45
2023-06-27,Shop1,5197.48
2023-06-26,Shop1,2983.05
2023-06-24,Shop1,6680.92
2023-06-23,Shop1,4146.27
2023-06-22,Shop1,3451.03
2023-06-21,Shop1,9720.93
2023-06-20,Shop1,16129.5
2023-06-19,Shop1,2782.87
2023-06-17,Shop1,7815.21
2023-06-16,Shop1,5063.78
2023-06-15,Shop1,3218.4
2023-06-14,Shop1,4768.14
2023-06-13,Shop1,11521.47
2023-06-12,Shop1,7280.11
2023-06-10,Shop1,12479.86
2023-06-09,Shop1,3528.73
2023-06-08,Shop1,5925.96
2023-06-07,Shop1,10736.76
2023-06-06,Shop1,4626.71
